date,value
2023-08-31,1710.76
2023-08-30,1714.14
2023-08-29,1714.14
2023-08-28,1714.14
2023-08-27,1716.3
2023-08-26,1716.3
2023-07-12,630.78
2023-07-11,1726.8
2023-07-10,1725.77
2023-07-09,1727.43
2023-07-08,1728.46
2023-07-07,1726.8
2023-07-06,1726.02
2023-07-05,1726.02
2023-07-04,1726.02
2023-07-03,1729.84
2023-07-02,1736.98
2023-07-01,1735.16
2023-06-30,1735.16
2023-06-29,1736.98
2023-06-28,1736.98
2023-06-27,1735.16
2023-06-26,1736.98
2023-06-25,1735.16
2023-06-24,1736.98
2023-06-23,1736.98
2023-06-22,1738.9
2023-06-21,1735.16
2023-06-20,1738.9
2023-06-19,1738.9
2023-06-18,1738.9
2023-06-17,1738.9
2023-06-16,1738.9
2023-06-15,1738.9
2023-06-14,1738.9
2023-06-13,1738.9
2023-06-12,1738.9
2023-06-11,1738.9
2023-05-04,1724.97
2023-05-03,1728.35
2023-05-02,1727.44
2023-05-01,1733.89
2023-04-30,1742.38
2023-04-29,1742.38
2023-04-28,1742.38
2023-04-27,1742.38
2023-04-26,1742.38
2023-04-25,1742.38
2023-04-24,1725.12
2023-04-23,1725.12
2023-04-22,1725.12
2023-04-21,1725.12
2023-04-20,1725.12
2023-04-19,1725.12
2023-04-18,1725.12
2023-04-17,1724.36
2023-04-16,1725.66
2023-02-20,1721.62
2023-02-19,1725.22
2023-02-18,1725.22
2023-02-17,1722.55
2023-02-16,1720.18
2023-02-15,1723.82
2023-02-14,1723.41
2023-02-13,1723.43
2023-02-12,1723.43
2023-02-11,1714.76
2023-02-10,1714.76
2023-02-09,1714.76
2023-02-08,1716.38
2023-02-07,1716.87
2023-02-06,1715.89
2023-02-05,1724.77
2023-02-04,1724.77
2023-02-03,1712.74
2023-02-02,1717.04
2023-02-01,1718.36
2023-01-31,1713.91
2023-01-30,1378.177
2023-01-29,1721.91
2023-01-28,1725.35
2023-01-27,1721.63
2023-01-26,1721.34
2023-01-25,1721.34
2023-01-24,1720.51
2023-01-23,1721.07
2023-01-22,1724.35
2023-01-21,1718.18
2023-01-20,1728.57
2023-01-19,1721.61
2023-01-18,1721.89
2023-01-17,1726.02
2023-01-16,1721.33
2023-01-15,1661.231
2023-01-14,1719.94
2023-01-13,1720.94
2023-01-12,1718.96
2023-01-11,1661.231
2023-01-10,1661.231
2023-01-09,1716.3
2023-01-08,1713.99
2023-01-07,1717.67
2023-01-06,1714.29
2023-01-05,1717.81
2023-01-04,1719.43
2023-01-03,1730.26
2023-01-02,1732.44
2023-01-01,1742.88
2022-12-31,1742.88
2022-12-30,1742.88
2022-12-29,1742.88
2022-12-28,1742.88
2022-12-27,1742.88
2022-12-26,1742.88
2022-12-25,1742.88
2022-12-24,1742.88
2022-12-23,1742.88
2022-12-22,1742.88
2022-12-21,1742.88
2022-12-20,1742.88
2022-12-19,1742.88
2022-12-18,1742.88
2022-12-17,1742.88
2022-12-16,1742.88
2022-12-15,1742.88
2022-12-14,1742.88
2022-12-13,1742.88
2022-12-12,1742.88
2022-12-11,1742.88
2022-12-10,1742.88
2022-12-09,1742.88
2022-12-08,1742.88
2022-12-07,1742.88
2022-12-06,1742.88
2022-12-05,1742.88
2022-12-04,1742.88
2022-12-03,1742.88
2022-12-02,1742.88
2022-12-01,1742.88
2022-11-30,1742.88
2022-11-29,1742.88
2022-11-28,1742.88
2022-11-27,1742.88
2022-11-26,1742.88
2022-11-25,1742.88
2022-11-24,1742.88
2022-11-23,1742.88
2022-11-22,1742.88
2022-11-21,1742.88
2022-11-20,1742.88
2022-11-19,1742.88
2022-11-18,1742.88
2022-11-17,1742.88
2022-11-16,1742.88
2022-11-15,1742.88
2022-11-14,1742.88
2022-11-13,1742.88
2022-11-12,1742.88
2022-11-11,1742.88
2022-11-10,1742.88
2022-11-09,1742.88
2022-11-08,1742.88
2022-11-07,1741.84
2022-11-06,1814.417
2022-11-05,1741.84
2022-11-04,1741.84
2022-11-03,1741.84
2022-11-02,1740.85
2022-11-01,1739.38
2022-10-31,1739.38
2022-10-30,1739.38
2022-10-29,1739.38
2022-10-28,1739.38
2022-10-27,1739.38
2022-10-26,1739.38
2022-10-25,1739.38
2022-10-24,1739.38
2022-10-23,1739.38
2022-10-22,1739.38
2022-10-21,1739.38
2022-10-20,1739.38
2022-10-19,1739.38
2022-10-18,1739.38
2022-10-17,1739.38
2022-10-16,1724.55
2022-10-15,1724.55
2022-10-14,1724.55
2022-10-13,1724.55
2022-10-12,1724.55
